Domain,Area,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value
Producer Prices,Bulgaria,Producer Price (USD/tonne),21113.01b,"Meat of pig with the bone, fresh or chilled (biological)",2023,2023,7021,Annual value,USD,1.99
Producer Prices,Bulgaria,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2018,2018,7021,Annual value,USD,2.88
Producer Prices,Bulgaria,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2019,2019,7021,Annual value,USD,2.87
Producer Prices,Bulgaria,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2020,2020,7021,Annual value,USD,3.06
Producer Prices,Bulgaria,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2021,2021,7021,Annual value,USD,3.39
Producer Prices,Bulgaria,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2022,2022,7021,Annual value,USD,4.02
Producer Prices,Bulgaria,Producer Price (USD/tonne),21115b,"Meat of sheep, fresh or chilled (biological)",2023,2023,7021,Annual value,USD,4.43
Producer Prices,Bulgaria,Producer Price (USD/tonne),1270,Mushrooms and truffles,2018,2018,7021,Annual value,USD,1.22
Producer Prices,Bulgaria,Producer Price (USD/tonne),1270,Mushrooms and truffles,2019,2019,7021,Annual value,USD,1.32
Producer Prices,Bulgaria,Producer Price (USD/tonne),1270,Mushrooms and truffles,2020,2020,7021,Annual value,USD,1.48
Producer Prices,Bulgaria,Producer Price (USD/tonne),1270,Mushrooms and truffles,2021,2021,7021,Annual value,USD,1.9
Producer Prices,Bulgaria,Producer Price (USD/tonne),1270,Mushrooms and truffles,2022,2022,7021,Annual value,USD,1.94
Producer Prices,Bulgaria,Producer Price (USD/tonne),1270,Mushrooms and truffles,2023,2023,7021,Annual value,USD,2.34
Producer Prices,Bulgaria,Producer Price (USD/tonne),2910,Natural honey,2018,2018,7021,Annual value,USD,2.77
Producer Prices,Bulgaria,Producer Price (USD/tonne),2910,Natural honey,2019,2019,7021,Annual value,USD,3.33
Producer Prices,Bulgaria,Producer Price (USD/tonne),2910,Natural honey,2020,2020,7021,Annual value,USD,3.54
Producer Prices,Bulgaria,Producer Price (USD/tonne),2910,Natural honey,2021,2021,7021,Annual value,USD,3.86
Producer Prices,Bulgaria,Producer Price (USD/tonne),2910,Natural honey,2022,2022,7021,Annual value,USD,3.89
Producer Prices,Bulgaria,Producer Price (USD/tonne),2910,Natural honey,2023,2023,7021,Annual value,USD,3.97
Producer Prices,Bulgaria,Producer Price (USD/tonne),117,Oats,2018,2018,7021,Annual value,USD,0.17
Producer Prices,Bulgaria,Producer Price (USD/tonne),117,Oats,2019,2019,7021,Annual value,USD,0.18
Producer Prices,Bulgaria,Producer Price (USD/tonne),117,Oats,2020,2020,7021,Annual value,USD,0.18
Producer Prices,Bulgaria,Producer Price (USD/tonne),117,Oats,2021,2021,7021,Annual value,USD,0.23
